name,category,description,fabric,technique,tagline,price,cost_price,stock,sku,low_stock_threshold,image_url
Eco Printed Cotton Kurta,Kurthas & Co-ords,"Beautiful handcrafted kurta with eco printing technique, perfect for casual wear",Cotton,Eco printing,Sustainable Fashion,2500,1500,15,KUR-ECO-001,5,
Silk Saree with Kalamkari,Sarees,"Traditional silk saree with intricate Kalamkari work, elegant and timeless",Silk,Kalamkari,Traditional Elegance,15000,8000,8,SAR-KAL-001,3,
Tie & Dye T-Shirt,T-Shirts,"Vibrant tie and dye t-shirt with unique patterns, comfortable cotton fabric",Cotton,Tie & Dye,Colorful Comfort,800,400,25,TSH-TD-001,10,
Handwoven Linen Shawl,Shawls,"Soft handwoven linen shawl with natural dyes, perfect for all seasons",Linen,Eco printing,Natural Elegance,1800,1000,12,SHA-LIN-001,5,
Kalamkari Cotton Kurta Set,Kurthas & Co-ords,"Matching kurta set with Kalamkari prints, traditional yet modern",Cotton,Kalamkari,Traditional Modern,3200,1800,10,KUR-KAL-002,5,
Silk Saree with Eco Print,Sarees,"Luxurious silk saree with eco printing, contemporary design",Silk,Eco printing,Modern Luxury,12000,6500,6,SAR-ECO-001,3,
Shibori Cotton Dress,Kidswear,"Colorful Shibori printed cotton dress for kids, comfortable and stylish",Cotton,Shibori,Playful Colors,1200,600,20,KID-SHI-001,8,
Batik Printed Men's Shirt,Men's Shirts,"Classic batik printed shirt, perfect for formal and casual occasions",Cotton,Batik,Classic Style,2200,1200,18,MSH-BAT-001,8,
Tie & Dye Georgette Saree,Sarees,"Elegant georgette saree with tie and dye patterns, lightweight and flowy",Georgette,Tie & Dye,Elegant Flow,8500,4500,7,SAR-TD-002,3,
Eco Printed Cotton Co-ord Set,Kurthas & Co-ords,"Stylish co-ord set with eco printing, trendy and comfortable",Cotton,Eco printing,Stylish Comfort,2800,1600,14,KUR-ECO-002,5,
Kalamkari Cotton T-Shirt,T-Shirts,"Casual t-shirt with Kalamkari motifs, everyday wear",Cotton,Kalamkari,Casual Elegance,950,500,30,TSH-KAL-001,12,
Handwoven Tussar Shawl,Shawls,"Premium tussar silk shawl with handwoven patterns, luxurious feel",Tussar,Eco printing,Luxury Wrap,2500,1400,9,SHA-TUS-001,4,
Batik Printed Kurta,Kurthas & Co-ords,"Traditional batik printed kurta, perfect for festive occasions",Cotton,Batik,Festive Elegance,2100,1100,16,KUR-BAT-001,7,
Shibori Cotton Saree,Sarees,"Modern saree with Shibori technique, contemporary and elegant",Cotton,Shibori,Modern Classic,7500,4000,5,SAR-SHI-001,3,
Eco Printed Kids Kurta Set,Kidswear,"Adorable kurta set for kids with eco printing, soft and comfortable",Cotton,Eco printing,Adorable Comfort,1500,800,22,KID-ECO-001,10,
Kalamkari Linen Shirt,Men's Shirts,"Breathable linen shirt with Kalamkari prints, perfect for summer",Linen,Kalamkari,Summer Style,2400,1300,12,MSH-KAL-001,6,
Tie & Dye Cotton Shawl,Shawls,"Colorful cotton shawl with tie and dye patterns, versatile accessory",Cotton,Tie & Dye,Colorful Versatility,1600,900,15,SHA-TD-001,7,
Batik Printed Saree,Sarees,"Traditional batik printed saree, rich colors and patterns",Silk,Batik,Rich Tradition,11000,6000,4,SAR-BAT-001,2,
Eco Printed Grape Fabric Kurta,Kurthas & Co-ords,"Unique kurta in grape fabric with eco printing, distinctive style",Grape,Eco printing,Unique Style,2700,1500,11,KUR-GRP-001,5,
Shibori Cotton T-Shirt,T-Shirts,"Comfortable t-shirt with Shibori patterns, casual everyday wear",Cotton,Shibori,Everyday Comfort,850,450,28,TSH-SHI-001,12,
Kalamkari Silk Shawl,Shawls,"Luxurious silk shawl with Kalamkari art, premium quality",Silk,Kalamkari,Premium Art,3200,1800,6,SHA-KAL-001,3,
Batik Printed Co-ord Set,Kurthas & Co-ords,"Matching co-ord set with batik prints, coordinated elegance",Cotton,Batik,Coordinated Style,2900,1600,13,KUR-BAT-002,6,
Tie & Dye Kids T-Shirt,Kidswear,"Fun tie and dye t-shirt for kids, vibrant and playful",Cotton,Tie & Dye,Playful Fun,700,350,35,KID-TD-001,15,
Eco Printed Men's Shirt,Men's Shirts,"Stylish men's shirt with eco printing, modern and comfortable",Cotton,Eco printing,Modern Style,2300,1250,17,MSH-ECO-001,8,
Kalamkari Cotton Saree,Sarees,"Classic cotton saree with Kalamkari work, traditional beauty",Cotton,Kalamkari,Traditional Beauty,6500,3500,8,SAR-KAL-002,4,
Shibori Printed Shawl,Shawls,"Elegant shawl with Shibori technique, artistic patterns",Georgette,Shibori,Artistic Elegance,1900,1050,10,SHA-SHI-001,5,
Batik Cotton Kurta,Kurthas & Co-ords,"Comfortable cotton kurta with batik prints, everyday elegance",Cotton,Batik,Everyday Elegance,2000,1100,19,KUR-BAT-003,8,
Tie & Dye Linen Kurta,Kurthas & Co-ords,"Breathable linen kurta with tie and dye, perfect for warm weather",Linen,Tie & Dye,Summer Comfort,2600,1450,13,KUR-TD-001,6,
Eco Printed Georgette Saree,Sarees,"Lightweight georgette saree with eco printing, graceful drape",Georgette,Eco printing,Graceful Drape,9000,4800,5,SAR-ECO-002,3,
Kalamkari Kids Dress,Kidswear,"Charming kids dress with Kalamkari motifs, comfortable fit",Cotton,Kalamkari,Charming Comfort,1300,700,24,KID-KAL-001,10

